,Name,API_Name,Instance_Memory,vCPUs,Instance_Storage,Network_Performance,On_Demand,Linux_Reserved_cost,Linux_Spot_Minimum_cost,Windows_On_Demand_cost,Windows_Reserved_cost
617,IS4GEN Eight Extra Large,is4gen.8xlarge,192,32,30000 GB                 (4 * 7500 GB NVMe SSD),50 Gigabit,4.6104,$3.1445 hourly,$1.8777 hourly,,
618,R6IDN 12xlarge,r6idn.12xlarge,384,48,2850 GB                 (2 * 1425 GB NVMe SSD),75 Gigabit,4.6894,$2.9543 hourly,$2.3809 hourly,$6.8974 hourly,$5.1623 hourly
619,INF1 24xlarge,inf1.24xlarge,192,96,EBS only,100 Gigabit,4.721,$2.9740 hourly,$2.1297 hourly,,
620,R5N 16xlarge,r5n.16xlarge,512,64,EBS only,75 Gigabit,4.768,$3.0040 hourly,$2.4836 hourly,$7.7120 hourly,$5.9480 hourly
621,R5B 16xlarge,r5b.16xlarge,512,64,EBS only,20 Gigabit,4.768,$3.0038 hourly,$2.4830 hourly,$7.7120 hourly,$5.9478 hourly
622,R6ID 16xlarge,r6id.16xlarge,512,64,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,4.8384,$3.0408 hourly,$2.0867 hourly,$7.7824 hourly,$5.9848 hourly
623,C6ID 24xlarge,c6id.24xlarge,192,96,5700 GB                 (4 * 1425 GB NVMe SSD),37.5 Gigabit,4.8384,$3.0492 hourly,$2.1810 hourly,$9.2544 hourly,$7.4652 hourly
624,M7I Metal-24xl,m7i.metal-24xl,384,96,EBS only,37.5 Gigabit,4.8384,$3.2006 hourly,$1.9871 hourly,$9.2544 hourly,$7.6166 hourly
625,M7I 24xlarge,m7i.24xlarge,384,96,EBS only,37.5 Gigabit,4.8384,$3.2006 hourly,$2.1331 hourly,$9.2544 hourly,$7.6166 hourly
626,R7A 16xlarge,r7a.16xlarge,512,64,EBS only,25 Gigabit,4.8688,$3.2207 hourly,$2.2897 hourly,$7.8128 hourly,$6.1647 hourly
627,C6A 32xlarge,c6a.32xlarge,256,12,EBS only,50 Gigabit,4.896,$3.2387 hourly,$2.2320 hourly,$10.7840 hourly,$9.1267 hourly
628,C7A 24xlarge,c7a.24xlarge,192,96,EBS only,37.5 Gigabit,4.9267,$3.2590 hourly,$1.2879 hourly,$9.3427 hourly,$7.6750 hourly
629,I4G 16xlarge,i4g.16xlarge,512,64,15000 GB                 (4 * 3750 GB NVMe SSD),37.5 Gigabit,4.9421,$3.2071 hourly,$2.0596 hourly,,
630,M5AD 24xlarge,m5ad.24xlarge,384,96,3600 GB                 (4 * 900 GB NVMe SSD),20 Gigabit,4.944,$3.1150 hourly,$2.1770 hourly,$9.3600 hourly,$7.5310 hourly
631,I3 High I/O 16xlarge,i3.16xlarge,488,64,15200 GB                 (8 * 1900 GB NVMe SSD),25 Gigabit,4.992,$3.4270 hourly,$1.9395 hourly,$7.9360 hourly,$6.3710 hourly
632,I3 High I/O Metal,i3.metal,512,72,15200 GB                 (8 * 1900 GB NVMe SSD),25 Gigabit,4.992,$3.4270 hourly,$1.8909 hourly,$7.9360 hourly,$6.3710 hourly
633,X2IEZN 6xlarge,x2iezn.6xlarge,768,24,EBS only,50 Gigabit,5.004,$3.0807 hourly,$2.1419 hourly,$6.1080 hourly,$4.1847 hourly
634,M6IDN 16xlarge,m6idn.16xlarge,256,64,3800 GB                 (2 * 1900 GB NVMe SSD),100 Gigabit,5.0918,$3.2079 hourly,$2.0097 hourly,$8.0358 hourly,$6.1519 hourly
635,VT1 24xlarge,vt1.24xlarge,192,96,EBS only,25 Gigabit,5.2,$3.2760 hourly,$2.2292 hourly,,
636,R5DN 16xlarge,r5dn.16xlarge,512,64,2400 GB                 (4 * 600 GB NVMe SSD),75 Gigabit,5.344,$3.3670 hourly,$2.1346 hourly,$8.2880 hourly,$6.3110 hourly
637,X2GD Metal,x2gd.metal,1024,64,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,5.344,$3.2932 hourly,$1.9745 hourly,,
638,X2GD 16xlarge,x2gd.16xlarge,1024,64,3800 GB                 (2 * 1900 GB NVMe SSD),25 Gigabit,5.344,$3.2932 hourly,$2.4227 hourly,,
639,I3EN 12xlarge,i3en.12xlarge,384,48,30000 GB                 (4 * 7500 GB NVMe SSD),50 Gigabit,5.424,$3.6940 hourly,$2.2417 hourly,$7.6320 hourly,$5.9020 hourly
640,M5 General Purpose 24xlarge,m5d.24xlarge,384,96,3600 GB                 (4 * 900 GB NVMe SSD),25 Gigabit,5.424,$3.4170 hourly,$2.5019 hourly,$9.8400 hourly,$7.8330 hourly
641,R5A 24xlarge,r5a.24xlarge,768,96,EBS only,20 Gigabit,5.424,$3.4170 hourly,$1.9876 hourly,$9.8400 hourly,$7.8330 hourly
642,M5 General Purpose Metal,m5d.metal,384,96,3600 GB                 (4 * 900 GB NVMe SSD),25 Gigabit,5.424,$3.4170 hourly,$2.1954 hourly,$9.8400 hourly,$7.8330 hourly
643,C6I Metal,c6i.metal,256,12,EBS only,50 Gigabit,5.44,$3.5986 hourly,$2.5378 hourly,$11.3280 hourly,$9.4866 hourly
644,C6I 32xlarge,c6i.32xlarge,256,12,EBS only,50 Gigabit,5.44,$3.5986 hourly,$2.2013 hourly,$11.3280 hourly,$9.4866 hourly
645,R6A 24xlarge,r6a.24xlarge,768,96,EBS only,37.5 Gigabit,5.4432,$3.6007 hourly,$2.2714 hourly,$9.8592 hourly,$8.0167 hourly
646,C6IN 24xlarge,c6in.24xlarge,192,96,EBS only,150 Gigabit,5.4432,$3.4292 hourly,$2.3409 hourly,$9.8592 hourly,$7.8452 hourly
647,I4I 16xlarge,i4i.16xlarge,512,64,15000 GB                 (4 * 3750 GB NVMe SSD),37.5 Gigabit,5.491,$3.5630 hourly,$2.2851 hourly,$8.4350 hourly,$6.5070 hourly
648,D2 Eight Extra Large,d2.8xlarge,244,36,49152 GB                 (24 * 2048 GB HDD),10 Gigabit,5.52,$3.2160 hourly,$2.1532 hourly,$6.1980 hourly,$3.3000 hourly
