,Name,API_Name,Instance_Memory,vCPUs,Instance_Storage,Network_Performance,On_Demand,Linux_Reserved_cost,Linux_Spot_Minimum_cost,Windows_On_Demand_cost,Windows_Reserved_cost
0,T4G Nano,t4g.nano,0.5,2,EBS only,Up to 5 Gigabit,0.0042,$0.0026 hourly,$0.0027 hourly,,
1,T3A Nano,t3a.nano,0.5,2,EBS only,Up to 5 Gigabit,0.0047,$0.0029 hourly,$0.0022 hourly,$0.0093 hourly,$0.0075 hourly
2,T3 Nano,t3.nano,0.5,2,EBS only,Up to 5 Gigabit,0.0052,$0.0033 hourly,$0.0023 hourly,$0.0098 hourly,$0.0079 hourly
3,T2 Nano,t2.nano,0.5,1,EBS only,Low to Moderate,0.0058,$0.0036 hourly,,$0.0081 hourly,$0.0059 hourly
4,T4G Micro,t4g.micro,1,2,EBS only,Up to 5 Gigabit,0.0084,$0.0053 hourly,$0.0040 hourly,,
5,T3A Micro,t3a.micro,1,2,EBS only,Up to 5 Gigabit,0.0094,$0.0059 hourly,$0.0047 hourly,$0.0186 hourly,$0.0151 hourly
6,T3 Micro,t3.micro,1,2,EBS only,Up to 5 Gigabit,0.0104,$0.0065 hourly,$0.0043 hourly,$0.0196 hourly,$0.0157 hourly
7,T2 Micro,t2.micro,1,1,EBS only,Low to Moderate,0.0116,$0.0072 hourly,$0.0044 hourly,$0.0162 hourly,$0.0118 hourly
8,T4G Small,t4g.small,2,2,EBS only,Up to 5 Gigabit,0.0168,$0.0105 hourly,$0.0081 hourly,,
9,T3A Small,t3a.small,2,2,EBS only,Up to 5 Gigabit,0.0188,$0.0118 hourly,$0.0087 hourly,$0.0372 hourly,$0.0302 hourly
10,T1 Micro,t1.micro,0.613,1,EBS only,Very Low,0.02,$0.0140 hourly,$0.0085 hourly,$0.0200 hourly,$0.0150 hourly
11,T3 Small,t3.small,2,2,EBS only,Up to 5 Gigabit,0.0208,$0.0130 hourly,$0.0081 hourly,$0.0392 hourly,$0.0314 hourly
12,T2 Small,t2.small,2,1,EBS only,Low to Moderate,0.023,$0.0144 hourly,$0.0101 hourly,$0.0320 hourly,$0.0236 hourly
13,A1 Medium,a1.medium,2,1,EBS only,Up to 10 Gigabit,0.0255,$0.0161 hourly,$0.0110 hourly,,
14,T4G Medium,t4g.medium,4,2,EBS only,Up to 5 Gigabit,0.0336,$0.0211 hourly,$0.0151 hourly,,
15,C6G Medium,c6g.medium,2,1,EBS only,Up to 10 Gigabit,0.034,$0.0214 hourly,$0.0158 hourly,,
16,C7G Medium,c7g.medium,2,1,EBS only,Up to 12.5 Gigabit,0.0363,$0.0239 hourly,$0.0174 hourly,,
17,T3A Medium,t3a.medium,4,2,EBS only,Up to 5 Gigabit,0.0376,$0.0236 hourly,$0.0169 hourly,$0.0560 hourly,$0.0420 hourly
18,C6GD Medium,c6gd.medium,2,1,59 GB                 NVMe SSD,Up to 10 Gigabit,0.0384,$0.0242 hourly,$0.0171 hourly,,
19,M6G Medium,m6g.medium,4,1,EBS only,Up to 10 Gigabit,0.0385,$0.0241 hourly,$0.0184 hourly,,
20,M7G Medium,m7g.medium,4,1,EBS only,Up to 12.5 Gigabit,0.0408,$0.0270 hourly,$0.0185 hourly,,
21,T3 Medium,t3.medium,4,2,EBS only,Up to 5 Gigabit,0.0416,$0.0261 hourly,$0.0186 hourly,$0.0600 hourly,$0.0445 hourly
22,C6GN Medium,c6gn.medium,2,1,EBS only,Up to 16 Gigabit,0.0432,$0.0273 hourly,$0.0192 hourly,,
23,M1 General Purpose Small,m1.small,1.7,1,160 GB                 HDD,Low,0.044,$0.0280 hourly,$0.0183 hourly,$0.0750 hourly,$0.0570 hourly
24,M6GD Medium,m6gd.medium,4,1,59 GB                 NVMe SSD,Up to 10 Gigabit,0.0452,$0.0285 hourly,$0.0196 hourly,,
25,C7GD Medium,c7gd.medium,2,1,59 GB                 NVMe SSD,Up to 12.5 Gigabit,0.0454,$0.0286 hourly,$0.0193 hourly,,
26,T2 Medium,t2.medium,4,2,EBS only,Low to Moderate,0.0464,$0.0287 hourly,$0.0209 hourly,$0.0644 hourly,$0.0467 hourly
27,R6G Medium,r6g.medium,8,1,EBS only,Up to 10 Gigabit,0.0504,$0.0318 hourly,$0.0218 hourly,,
28,A1 Large,a1.large,4,2,EBS only,Up to 10 Gigabit,0.051,$0.0321 hourly,$0.0279 hourly,,
29,C7A Medium,c7a.medium,2,1,EBS only,Up to 12.5 Gigabit,0.0513,$0.0340 hourly,$0.0133 hourly,$0.0973 hourly,$0.0799 hourly
30,M7GD Medium,m7gd.medium,4,1,59 GB                 NVMe SSD,Up to 12.5 Gigabit,0.0534,$0.0336 hourly,$0.0217 hourly,,
31,R7G Medium,r7g.medium,8,1,EBS only,Up to 12.5 Gigabit,0.0536,$0.0354 hourly,$0.0237 hourly,,
32,R6GD Medium,r6gd.medium,8,1,59 GB                 NVMe SSD,Up to 10 Gigabit,0.0576,$0.0363 hourly,$0.0292 hourly,,
33,M7A Medium,m7a.medium,4,1,EBS only,Up to 12.5 Gigabit,0.058,$0.0383 hourly,$0.0235 hourly,$0.1040 hourly,$0.0843 hourly
34,C7GN Medium,c7gn.medium,2,1,EBS only,Up to 25 Gigabit,0.0624,$0.0393 hourly,$0.0246 hourly,,
35,M3 General Purpose Medium,m3.medium,3.75,1,4 GB                 SSD,Moderate,0.067,$0.0480 hourly,$0.0287 hourly,$0.1300 hourly,$0.1000 hourly
36,T4G Large,t4g.large,8,2,EBS only,Up to 5 Gigabit,0.0672,$0.0421 hourly,$0.0303 hourly,,
37,R7GD Medium,r7gd.medium,8,1,59 GB                 NVMe SSD,Up to 12.5 Gigabit,0.068,$0.0428 hourly,$0.0327 hourly,,
38,C6G Large,c6g.large,4,2,EBS only,Up to 10 Gigabit,0.068,$0.0428 hourly,$0.0321 hourly,,
39,C7G Large,c7g.large,4,2,EBS only,Up to 12.5 Gigabit,0.0725,$0.0478 hourly,$0.0349 hourly,,
40,T3A Large,t3a.large,8,2,EBS only,Up to 5 Gigabit,0.0752,$0.0471 hourly,$0.0330 hourly,$0.1028 hourly,$0.0747 hourly
41,R7A Medium,r7a.medium,8,1,EBS only,Up to 12.5 Gigabit,0.0761,$0.0503 hourly,$0.0386 hourly,$0.1221 hourly,$0.0963 hourly
42,C6A Large,c6a.large,4,2,EBS only,Up to 12.5 Gigabit,0.0765,$0.0506 hourly,$0.0390 hourly,$0.1685 hourly,$0.1426 hourly
43,C6GD Large,c6gd.large,4,2,118 GB                 NVMe SSD,Up to 10 Gigabit,0.0768,$0.0484 hourly,$0.0338 hourly,,
44,M6G Large,m6g.large,8,2,EBS only,Up to 10 Gigabit,0.077,$0.0483 hourly,$0.0354 hourly,,
45,C5A Large,c5a.large,4,2,EBS only,Up to 10 Gigabit,0.077,$0.0490 hourly,$0.0368 hourly,$0.1690 hourly,$0.1410 hourly
46,M7G Large,m7g.large,8,2,EBS only,Up to 12.5 Gigabit,0.0816,$0.0540 hourly,$0.0382 hourly,,
47,T3 Large,t3.large,8,2,EBS only,Up to 5 Gigabit,0.0832,$0.0522 hourly,$0.0421 hourly,$0.1108 hourly,$0.0798 hourly
48,X2GD Medium,x2gd.medium,16,1,59 GB                 NVMe SSD,Up to 10 Gigabit,0.0835,$0.0515 hourly,$0.0326 hourly,,
49,C6I Large,c6i.large,4,2,EBS only,Up to 12.5 Gigabit,0.085,$0.0562 hourly,$0.0414 hourly,$0.1770 hourly,$0.1482 hourly
50,C5 High-CPU Large,c5.large,4,2,EBS only,Up to 10 Gigabit,0.085,$0.0540 hourly,$0.0394 hourly,$0.1770 hourly,$0.1460 hourly
51,C5AD Large,c5ad.large,4,2,75 GB                 NVMe SSD,Up to 10 Gigabit,0.086,$0.0540 hourly,$0.0425 hourly,$0.1780 hourly,$0.1460 hourly
52,M5A Large,m5a.large,8,2,EBS only,Up to 10 Gigabit,0.086,$0.0540 hourly,$0.0441 hourly,$0.1780 hourly,$0.1460 hourly
53,M6A Large,m6a.large,8,2,EBS only,Up to 12.5 Gigabit,0.0864,$0.0571 hourly,$0.0364 hourly,$0.1784 hourly,$0.1492 hourly
54,C6GN Large,c6gn.large,4,2,EBS only,Up to 25 Gigabit,0.0864,$0.0545 hourly,$0.0380 hourly,,
55,M1 General Purpose Medium,m1.medium,3.75,1,410 GB                 HDD,Moderate,0.087,$0.0560 hourly,$0.0348 hourly,$0.1490 hourly,$0.1150 hourly
56,C7I Large,c7i.large,4,2,EBS only,Up to 12.5 Gigabit,0.0892,$0.0590 hourly,$0.0419 hourly,$0.1812 hourly,$0.1510 hourly
57,M6GD Large,m6gd.large,8,2,118 GB                 NVMe SSD,Up to 10 Gigabit,0.0904,$0.0570 hourly,$0.0429 hourly,,
58,C7GD Large,c7gd.large,4,2,118 GB                 NVMe SSD,Up to 12.5 Gigabit,0.0907,$0.0572 hourly,$0.0377 hourly,,
59,T2 Large,t2.large,8,2,EBS only,Low to Moderate,0.0928,$0.0575 hourly,$0.0415 hourly,$0.1208 hourly,$0.0855 hourly
60,M7I-FLEX Large,m7i-flex.large,8,2,EBS only,Up to 12.5 Gigabit,0.0958,$0.0633 hourly,$0.0462 hourly,$0.1832 hourly,$0.1507 hourly
61,M6I Large,m6i.large,8,2,EBS only,Up to 12.5 Gigabit,0.096,$0.0635 hourly,$0.0425 hourly,$0.1880 hourly,$0.1555 hourly
62,C5 High-CPU Large,c5d.large,4,2,50 GB                 NVMe SSD,Up to 10 Gigabit,0.096,$0.0600 hourly,$0.0436 hourly,$0.1880 hourly,$0.1520 hourly
63,M5 General Purpose Large,m5.large,8,2,EBS only,Up to 10 Gigabit,0.096,$0.0600 hourly,$0.0441 hourly,$0.1880 hourly,$0.1520 hourly
64,C4 High-CPU Large,c4.large,3.75,2,EBS only,Moderate,0.1,$0.0630 hourly,$0.0472 hourly,$0.1920 hourly,$0.1550 hourly
65,M4 General Purpose Large,m4.large,8,2,EBS only,Moderate,0.1,$0.0620 hourly,$0.0502 hourly,$0.1920 hourly,$0.1540 hourly
66,C6ID Large,c6id.large,4,2,118 GB                 NVMe SSD,Up to 12.5 Gigabit,0.1008,$0.0635 hourly,$0.0449 hourly,$0.1928 hourly,$0.1555 hourly
67,M7I Large,m7i.large,8,2,EBS only,Up to 12.5 Gigabit,0.1008,$0.0667 hourly,$0.0455 hourly,$0.1928 hourly,$0.1587 hourly
68,R6G Large,r6g.large,16,2,EBS only,Up to 10 Gigabit,0.1008,$0.0635 hourly,$0.0449 hourly,,
69,A1 Extra Large,a1.xlarge,8,4,EBS only,Up to 10 Gigabit,0.102,$0.0643 hourly,$0.0563 hourly,,
70,C7A Large,c7a.large,4,2,EBS only,Up to 12.5 Gigabit,0.1026,$0.0679 hourly,$0.0269 hourly,$0.1946 hourly,$0.1599 hourly
71,M5AD Large,m5ad.large,8,2,75 GB                 NVMe SSD,Up to 10 Gigabit,0.103,$0.0650 hourly,$0.0529 hourly,$0.1950 hourly,$0.1570 hourly
72,C3 High-CPU Large,c3.large,3.75,2,32 GB                 (2 * 16 GB SSD),Moderate,0.105,$0.0730 hourly,$0.0576 hourly,$0.1880 hourly,$0.1650 hourly
73,M7GD Large,m7gd.large,8,2,118 GB                 NVMe SSD,Up to 12.5 Gigabit,0.1068,$0.0673 hourly,$0.0478 hourly,,
74,R7G Large,r7g.large,16,2,EBS only,Up to 12.5 Gigabit,0.1071,$0.0708 hourly,$0.0459 hourly,,
75,C5N Large,c5n.large,5.25,2,EBS only,Up to 25 Gigabit,0.108,$0.0680 hourly,$0.0525 hourly,$0.2000 hourly,$0.1600 hourly
76,R5A Large,r5a.large,16,2,EBS only,Up to 10 Gigabit,0.113,$0.0710 hourly,$0.0525 hourly,$0.2050 hourly,$0.1630 hourly
77,M5 General Purpose Large,m5d.large,8,2,75 GB                 NVMe SSD,Up to 10 Gigabit,0.113,$0.0710 hourly,$0.0511 hourly,$0.2050 hourly,$0.1630 hourly
78,R6A Large,r6a.large,16,2,EBS only,Up to 12.5 Gigabit,0.1134,$0.0750 hourly,$0.0508 hourly,$0.2054 hourly,$0.1670 hourly
79,C6IN Large,c6in.large,4,2,EBS only,Up to 25 Gigabit,0.1134,$0.0714 hourly,$0.0492 hourly,$0.2054 hourly,$0.1634 hourly
80,R6GD Large,r6gd.large,16,2,118 GB                 NVMe SSD,Up to 10 Gigabit,0.1152,$0.0726 hourly,$0.0524 hourly,,
81,M7A Large,m7a.large,8,2,EBS only,Up to 12.5 Gigabit,0.1159,$0.0767 hourly,$0.0489 hourly,$0.2079 hourly,$0.1687 hourly
82,M6ID Large,m6id.large,8,2,118 GB                 NVMe SSD,Up to 12.5 Gigabit,0.1187,$0.0747 hourly,$0.0517 hourly,$0.2107 hourly,$0.1668 hourly
83,M5N Large,m5n.large,8,2,EBS only,Up to 25 Gigabit,0.119,$0.0750 hourly,$0.0532 hourly,$0.2110 hourly,$0.1670 hourly
84,C7GN Large,c7gn.large,4,2,EBS only,Up to 30 Gigabit,0.1248,$0.0786 hourly,$0.0526 hourly,,
85,R6I Large,r6i.large,16,2,EBS only,Up to 12.5 Gigabit,0.126,$0.0833 hourly,$0.0562 hourly,$0.2180 hourly,$0.1754 hourly
86,R5 Large,r5.large,16,2,EBS only,Up to 10 Gigabit,0.126,$0.0790 hourly,$0.0628 hourly,$0.2180 hourly,$0.1710 hourly
87,C1 High-CPU Medium,c1.medium,1.7,2,350 GB                 HDD,Moderate,0.13,$0.0910 hourly,$0.0536 hourly,$0.2100 hourly,$0.1790 hourly
88,R5AD Large,r5ad.large,16,2,75 GB                 NVMe SSD,Up to 10 Gigabit,0.131,$0.0830 hourly,$0.0624 hourly,$0.2230 hourly,$0.1750 hourly
89,R7I Large,r7i.large,16,2,EBS only,Up to 12.5 Gigabit,0.1323,$0.0875 hourly,$0.0605 hourly,$0.2243 hourly,$0.1795 hourly
90,R4 High-Memory Large,r4.large,15.25,2,EBS only,Up to 10 Gigabit,0.133,$0.0840 hourly,$0.0586 hourly,$0.2250 hourly,$0.1760 hourly
91,M3 General Purpose Large,m3.large,7.5,2,32 GB                 SSD,Moderate,0.133,$0.0950 hourly,$0.0532 hourly,$0.2590 hourly,$0.1990 hourly
92,T4G Extra Large,t4g.xlarge,16,4,EBS only,Up to 5 Gigabit,0.1344,$0.0843 hourly,$0.0624 hourly,,
93,C6G Extra Large,c6g.xlarge,8,4,EBS only,Up to 10 Gigabit,0.136,$0.0857 hourly,$0.0635 hourly,,
94,M5DN Large,m5dn.large,8,2,75 GB                 NVMe SSD,Up to 25 Gigabit,0.136,$0.0860 hourly,$0.0601 hourly,$0.2280 hourly,$0.1780 hourly
95,R7GD Large,r7gd.large,16,2,118 GB                 NVMe SSD,Up to 12.5 Gigabit,0.1361,$0.0855 hourly,$0.0582 hourly,,
96,M6IN Large,m6in.large,8,2,EBS only,Up to 25 Gigabit,0.1392,$0.0877 hourly,$0.0615 hourly,$0.2312 hourly,$0.1797 hourly
97,R5D Large,r5d.large,16,2,75 GB                 NVMe SSD,Up to 10 Gigabit,0.144,$0.0910 hourly,$0.0676 hourly,$0.2360 hourly,$0.1830 hourly
98,IS4GEN Medium,is4gen.medium,6,1,937 GB                 NVMe SSD,Up to 25 Gigabit,0.1441,$0.0983 hourly,$0.0546 hourly,,
99,C7G Extra Large,c7g.xlarge,8,4,EBS only,Up to 12.5 Gigabit,0.145,$0.0955 hourly,$0.0698 hourly,,
100,R5B Large,r5b.large,16,2,EBS only,Up to 10 Gigabit,0.149,$0.0939 hourly,$0.0734 hourly,$0.2410 hourly,$0.1859 hourly
101,R5N Large,r5n.large,16,2,EBS only,Up to 25 Gigabit,0.149,$0.0940 hourly,$0.0629 hourly,$0.2410 hourly,$0.1860 hourly
102,T3A Extra Large,t3a.xlarge,16,4,EBS only,Up to 5 Gigabit,0.1504,$0.0943 hourly,$0.0722 hourly,$0.2240 hourly,$0.1679 hourly
103,R6ID Large,r6id.large,16,2,118 GB                 NVMe SSD,Up to 12.5 Gigabit,0.1512,$0.0950 hourly,$0.0677 hourly,$0.2432 hourly,$0.1870 hourly
104,R7A Large,r7a.large,16,2,EBS only,Up to 12.5 Gigabit,0.1522,$0.1007 hourly,$0.0692 hourly,$0.2442 hourly,$0.1926 hourly
105,C6A Extra Large,c6a.xlarge,8,4,EBS only,Up to 12.5 Gigabit,0.153,$0.1012 hourly,$0.0762 hourly,$0.3370 hourly,$0.2852 hourly
106,C6GD Extra Large,c6gd.xlarge,8,4,237 GB                 NVMe SSD,Up to 10 Gigabit,0.1536,$0.0968 hourly,$0.0728 hourly,,
107,C5A Extra Large,c5a.xlarge,8,4,EBS only,Up to 10 Gigabit,0.154,$0.0970 hourly,$0.0666 hourly,$0.3380 hourly,$0.2810 hourly
108,M6G Extra Large,m6g.xlarge,16,4,EBS only,Up to 10 Gigabit,0.154,$0.0966 hourly,$0.0672 hourly,,
109,I4G Large,i4g.large,16,2,468 GB                 NVMe SSD,Up to 10 Gigabit,0.1544,$0.1002 hourly,$0.0616 hourly,,
110,I3 High I/O Large,i3.large,15.25,2,475 GB                 NVMe SSD,Up to 10 Gigabit,0.156,$0.1070 hourly,$0.0654 hourly,$0.2480 hourly,$0.1990 hourly
111,M6IDN Large,m6idn.large,8,2,118 GB                 NVMe SSD,Up to 25 Gigabit,0.1591,$0.1003 hourly,$0.0589 hourly,$0.2511 hourly,$0.1923 hourly
112,M7G Extra Large,m7g.xlarge,16,4,EBS only,Up to 12.5 Gigabit,0.1632,$0.1080 hourly,$0.0686 hourly,,
113,M5ZN Large,m5zn.large,8,2,EBS only,Up to 25 Gigabit,0.1652,$0.1041 hourly,$0.0720 hourly,$0.2572 hourly,$0.1961 hourly
114,R3 High-Memory Large,r3.large,15.25,2,32 GB                 SSD,Moderate,0.166,$0.1050 hourly,$0.0701 hourly,$0.2910 hourly,$0.2380 hourly
115,T3 Extra Large,t3.xlarge,16,4,EBS only,Up to 5 Gigabit,0.1664,$0.1043 hourly,$0.0784 hourly,$0.2400 hourly,$0.1779 hourly
116,R5DN Large,r5dn.large,16,2,75 GB                 NVMe SSD,Up to 25 Gigabit,0.167,$0.1050 hourly,$0.0679 hourly,$0.2590 hourly,$0.1970 hourly
117,X2GD Large,x2gd.large,32,2,118 GB                 NVMe SSD,Up to 10 Gigabit,0.167,$0.1029 hourly,$0.0783 hourly,,
118,C5 High-CPU Extra Large,c5.xlarge,8,4,EBS only,Up to 10 Gigabit,0.17,$0.1070 hourly,$0.0800 hourly,$0.3540 hourly,$0.2910 hourly
119,C6I Extra Large,c6i.xlarge,8,4,EBS only,Up to 12.5 Gigabit,0.17,$0.1125 hourly,$0.0787 hourly,$0.3540 hourly,$0.2965 hourly
120,M5A Extra Large,m5a.xlarge,16,4,EBS only,Up to 10 Gigabit,0.172,$0.1080 hourly,$0.0803 hourly,$0.3560 hourly,$0.2920 hourly
121,C5AD Extra Large,c5ad.xlarge,8,4,150 GB                 NVMe SSD,Up to 10 Gigabit,0.172,$0.1080 hourly,$0.0844 hourly,$0.3560 hourly,$0.2920 hourly
122,I4I Large,i4i.large,16,2,468 GB                 NVMe SSD,Up to 10 Gigabit,0.172,$0.1110 hourly,$0.0755 hourly,$0.2640 hourly,$0.2030 hourly
123,M6A Extra Large,m6a.xlarge,16,4,EBS only,Up to 12.5 Gigabit,0.1728,$0.1143 hourly,$0.0823 hourly,$0.3568 hourly,$0.2983 hourly
124,C6GN Extra Large,c6gn.xlarge,8,4,EBS only,Up to 25 Gigabit,0.1728,$0.1091 hourly,$0.0753 hourly,,
125,R6IN Large,r6in.large,16,2,EBS only,Up to 25 Gigabit,0.1743,$0.1098 hourly,$0.0752 hourly,$0.2663 hourly,$0.2018 hourly
126,M1 General Purpose Large,m1.large,7.5,2,840 GB                 (2 * 420 GB HDD),Moderate,0.175,$0.1120 hourly,$0.0730 hourly,$0.2990 hourly,$0.2320 hourly
127,C7I Extra Large,c7i.xlarge,8,4,EBS only,Up to 12.5 Gigabit,0.1785,$0.1181 hourly,$0.0867 hourly,$0.3625 hourly,$0.3021 hourly
128,M6GD Extra Large,m6gd.xlarge,16,4,237 GB                 NVMe SSD,Up to 10 Gigabit,0.1808,$0.1139 hourly,$0.0875 hourly,,
129,C7GD Extra Large,c7gd.xlarge,8,4,237 GB                 NVMe SSD,Up to 12.5 Gigabit,0.1814,$0.1143 hourly,$0.0761 hourly,,
130,IM4GN Large,im4gn.large,8,2,937 GB                 NVMe SSD,Up to 25 Gigabit,0.1819,$0.1167 hourly,$0.0699 hourly,,
131,T2 Extra Large,t2.xlarge,16,4,EBS only,Moderate,0.1856,$0.1150 hourly,$0.0766 hourly,$0.2266 hourly,$0.1560 hourly
132,Z1D Large,z1d.large,16,2,75 GB                 NVMe SSD,Up to 10 Gigabit,0.186,$0.1170 hourly,$0.0752 hourly,$0.2780 hourly,$0.2090 hourly
133,R7IZ Large,r7iz.large,16,2,EBS only,Up to 12.5 Gigabit,0.186,$0.1172 hourly,$0.0734 hourly,$0.2780 hourly,$0.2092 hourly
134,M7I-FLEX Extra Large,m7i-flex.xlarge,16,4,EBS only,Up to 12.5 Gigabit,0.1915,$0.1267 hourly,$0.0990 hourly,$0.3663 hourly,$0.3015 hourly
135,M5 General Purpose Extra Large,m5.xlarge,16,4,EBS only,Up to 10 Gigabit,0.192,$0.1210 hourly,$0.0831 hourly,$0.3760 hourly,$0.3050 hourly
136,M6I Extra Large,m6i.xlarge,16,4,EBS only,Up to 12.5 Gigabit,0.192,$0.1270 hourly,$0.0880 hourly,$0.3760 hourly,$0.3110 hourly
137,C5 High-CPU Extra Large,c5d.xlarge,8,4,100 GB                 NVMe SSD,Up to 10 Gigabit,0.192,$0.1210 hourly,$0.0958 hourly,$0.3760 hourly,$0.3050 hourly
138,R6IDN Large,r6idn.large,16,2,118 GB                 NVMe SSD,Up to 25 Gigabit,0.1954,$0.1231 hourly,$0.0789 hourly,$0.2874 hourly,$0.2151 hourly
139,C4 High-CPU Extra Large,c4.xlarge,7.5,4,EBS only,High,0.199,$0.1260 hourly,$0.0799 hourly,$0.3830 hourly,$0.3100 hourly
140,M4 General Purpose Extra Large,m4.xlarge,16,4,EBS only,High,0.2,$0.1239 hourly,$0.0942 hourly,$0.3840 hourly,$0.3079 hourly
141,M7I Extra Large,m7i.xlarge,16,4,EBS only,Up to 12.5 Gigabit,0.2016,$0.1334 hourly,$0.0922 hourly,$0.3856 hourly,$0.3174 hourly
142,C6ID Extra Large,c6id.xlarge,8,4,237 GB                 NVMe SSD,Up to 12.5 Gigabit,0.2016,$0.1270 hourly,$0.0892 hourly,$0.3856 hourly,$0.3110 hourly
143,R6G Extra Large,r6g.xlarge,32,4,EBS only,Up to 10 Gigabit,0.2016,$0.1270 hourly,$0.0837 hourly,,
144,A1 Double Extra Large,a1.2xlarge,16,8,EBS only,Up to 10 Gigabit,0.204,$0.1285 hourly,$0.1086 hourly,,
145,C7A Extra Large,c7a.xlarge,8,4,EBS only,Up to 12.5 Gigabit,0.2053,$0.1358 hourly,$0.0526 hourly,$0.3893 hourly,$0.3198 hourly
146,M5AD Extra Large,m5ad.xlarge,16,4,150 GB                 NVMe SSD,Up to 10 Gigabit,0.206,$0.1300 hourly,$0.1110 hourly,$0.3900 hourly,$0.3140 hourly
147,C3 High-CPU Extra Large,c3.xlarge,7.5,4,80 GB                 (2 * 40 GB SSD),Moderate,0.21,$0.1460 hourly,$0.0974 hourly,$0.3760 hourly,$0.3290 hourly
148,M7GD Extra Large,m7gd.xlarge,16,4,237 GB                 NVMe SSD,Up to 12.5 Gigabit,0.2136,$0.1345 hourly,$0.0951 hourly,,
149,R7G Extra Large,r7g.xlarge,32,4,EBS only,Up to 12.5 Gigabit,0.2142,$0.1417 hourly,$0.1016 hourly,,
150,C5N Extra Large,c5n.xlarge,10.5,4,EBS only,Up to 25 Gigabit,0.216,$0.1360 hourly,$0.1057 hourly,$0.4000 hourly,$0.3200 hourly
151,I3EN Large,i3en.large,16,2,1250 GB                 NVMe SSD,Up to 25 Gigabit,0.226,$0.1540 hourly,$0.0909 hourly,$0.3180 hourly,$0.2460 hourly
152,R5A Extra Large,r5a.xlarge,32,4,EBS only,Up to 10 Gigabit,0.226,$0.1420 hourly,$0.1030 hourly,$0.4100 hourly,$0.3260 hourly
153,M5 General Purpose Extra Large,m5d.xlarge,16,4,150 GB                 NVMe SSD,Up to 10 Gigabit,0.226,$0.1420 hourly,$0.1240 hourly,$0.4100 hourly,$0.3260 hourly
154,R6A Extra Large,r6a.xlarge,32,4,EBS only,Up to 12.5 Gigabit,0.2268,$0.1500 hourly,$0.1057 hourly,$0.4108 hourly,$0.3340 hourly
155,C6IN Extra Large,c6in.xlarge,8,4,EBS only,Up to 30 Gigabit,0.2268,$0.1429 hourly,$0.1047 hourly,$0.4108 hourly,$0.3269 hourly
156,INF1 Extra Large,inf1.xlarge,8,4,EBS only,Up to 25 Gigabit,0.228,$0.1440 hourly,$0.0933 hourly,,
157,R6GD Extra Large,r6gd.xlarge,32,4,237 GB                 NVMe SSD,Up to 10 Gigabit,0.2304,$0.1452 hourly,$0.1202 hourly,,
158,M7A Extra Large,m7a.xlarge,16,4,EBS only,Up to 12.5 Gigabit,0.2318,$0.1534 hourly,$0.1128 hourly,$0.4158 hourly,$0.3374 hourly
159,M6ID Extra Large,m6id.xlarge,16,4,237 GB                 NVMe SSD,Up to 12.5 Gigabit,0.2373,$0.1495 hourly,$0.1083 hourly,$0.4213 hourly,$0.3335 hourly
160,M5N Extra Large,m5n.xlarge,16,4,EBS only,Up to 25 Gigabit,0.238,$0.1500 hourly,$0.1090 hourly,$0.4220 hourly,$0.3340 hourly
161,M2 High Memory Extra Large,m2.xlarge,17.1,2,420 GB                 HDD,Moderate,0.245,$0.1110 hourly,$0.1060 hourly,$0.3450 hourly,$0.2490 hourly
162,C7GN Extra Large,c7gn.xlarge,8,4,EBS only,Up to 40 Gigabit,0.2496,$0.1572 hourly,$0.1045 hourly,,
163,R6I Extra Large,r6i.xlarge,32,4,EBS only,Up to 12.5 Gigabit,0.252,$0.1667 hourly,$0.1183 hourly,$0.4360 hourly,$0.3507 hourly
164,R5 Extra Large,r5.xlarge,32,4,EBS only,Up to 10 Gigabit,0.252,$0.1590 hourly,$0.1137 hourly,$0.4360 hourly,$0.3430 hourly
165,R5AD Extra Large,r5ad.xlarge,32,4,150 GB                 NVMe SSD,Up to 10 Gigabit,0.262,$0.1650 hourly,$0.1373 hourly,$0.4460 hourly,$0.3490 hourly
166,R7I Extra Large,r7i.xlarge,32,4,EBS only,Up to 12.5 Gigabit,0.2646,$0.1750 hourly,$0.1243 hourly,$0.4486 hourly,$0.3590 hourly
167,R4 High-Memory Extra Large,r4.xlarge,30.5,4,EBS only,Up to 10 Gigabit,0.266,$0.1680 hourly,$0.1225 hourly,$0.4500 hourly,$0.3520 hourly
168,M3 General Purpose Extra Large,m3.xlarge,15,4,80 GB                 (2 * 40 GB SSD),High,0.266,$0.1900 hourly,$0.1223 hourly,$0.5180 hourly,$0.3970 hourly
169,T4G Double Extra Large,t4g.2xlarge,32,8,EBS only,Up to 5 Gigabit,0.2688,$0.1686 hourly,$0.1249 hourly,,
170,M5DN Extra Large,m5dn.xlarge,16,4,150 GB                 NVMe SSD,Up to 25 Gigabit,0.272,$0.1710 hourly,$0.1292 hourly,$0.4560 hourly,$0.3550 hourly
171,C6G Double Extra Large,c6g.2xlarge,16,8,EBS only,Up to 10 Gigabit,0.272,$0.1714 hourly,$0.1333 hourly,,
172,R7GD Extra Large,r7gd.xlarge,32,4,237 GB                 NVMe SSD,Up to 12.5 Gigabit,0.2722,$0.1710 hourly,$0.1125 hourly,,
